ID,Score,Income,Mother_edu,Father_edu,Mother_Prof,Father_Prof,Type_1,Type_2,Students
189,511.3668831,2.061688312,4.05,3.774647887,2.693548387,2.352112676,Public,State_City,1279
190,501.7692308,1.317307692,3,3.347826087,2.523809524,2.095238095,Public,State_City,518
191,447.75,0.5,2,4,1,2,Public,State_City,316
192,505.0934066,2.197802198,3.897435897,4.287356322,2.753424658,2.43902439,Public,State_City,1188
193,501.455,2.31,3.531914894,4.020833333,2.808510638,2.295454545,Public,State_City,855
194,538.0589431,2.398373984,4.32885906,4.562105263,3.011709602,2.693156733,Public,State_City,2030
195,481.5859375,1.1875,3.444444444,3.7,2.551724138,2.379310345,Public,State_City,740
196,488.2884615,1.192307692,3.416666667,3.666666667,2.8,2.153846154,Public,State_City,353
197,515.0576923,2.317307692,4.043478261,4.5,3.3,2.772727273,Public,State_City,475
198,512.6013513,1.371621622,3.78125,4.081081081,2.647058824,2.382352941,Public,State_City,775
199,526.4247191,2.421348315,4.264775414,4.599088838,3.12,2.823383085,Public,State_City,2504
200,494.6355422,1.536144578,3.534246575,4.135802469,2.690140845,2.36,Public,State_City,969
201,505.0909091,1.636363636,4.1,4.238095238,2.7,2.368421053,Public,State_City,203
202,519.3716216,1.88963964,4.009803922,4.448598131,2.877777778,2.621359223,Public,State_City,690
203,491.607595,1.746835443,3.948275862,4.130434783,2.766666667,2.402985075,Public,State_City,782
204,489.9613095,1.708333333,3.894736842,4.038461538,2.769230769,2.405063291,Public,State_City,1544
205,500.4637097,1.758064516,3.642857143,3.818181818,2.877192982,2.418181818,Public,State_City,1096
206,491.9553572,1.857142857,3.962962963,4.678571429,2.916666667,2.384615385,Public,State_City,392
207,475.5069445,1.590277778,3.206896552,3.571428571,2.555555556,2.225806452,Public,State_City,1117
208,507.5943396,2.367924528,4.108695652,4.541666667,3,2.595238095,Public,State_City,711
209,510.0466497,1.835627435,3.822753643,4.155263158,2.8179539,2.467328889,Public,State_City,2256
210,477.85,1.65,2.75,2.6,2.75,2,Public,State_City,491
211,480.25,1.46875,3.333333333,4.428571429,2,2.6,Public,State_City,421
212,524.4166667,2.416666667,4.444444444,4.666666667,3.25,3,Public,State_City,417
213,508.7058824,1.338235294,2.615384615,3.6,2.75,2.5,Public,State_City,715
214,497.3940678,1.957627119,3.851485149,4.232142857,2.727272727,2.632075472,Public,State_City,1369
215,507.6184211,2.092105263,3.631578947,4.111111111,3.058823529,2.588235294,Public,State_City,304
216,485.8064517,1.459677419,4.086956522,3.923076923,2.458333333,2.2,Public,State_City,435
217,529.4301181,2.581692913,4.262008734,4.616935484,3.058823529,2.818181818,Public,State_City,1892
218,536.2568598,2.72027439,4.331147541,4.801242236,3.003448276,2.823920266,Public,State_City,1234
219,510.7910156,1.947265625,3.98245614,4.336065574,2.926605505,2.5,Public,State_City,1598
220,502.4433333,2.07,3.876923077,4.205479452,2.830508475,2.582089552,Public,State_City,537
221,509.3008475,2.453389831,4.358490566,4.473684211,3.358490566,2.823529412,Public,State_City,546
222,483.7421875,1.3515625,3.392857143,3.533333333,2.535714286,2.357142857,Public,State_City,672
223,516.9285714,2.117857143,3.950413223,4.075757576,2.877192982,2.483333333,Public,State_City,818
224,516.2585227,1.730113636,3.651315789,3.862275449,2.803921569,2.450980392,Public,State_City,1023
225,488.8369565,1.485507246,3.616666667,3.876923077,2.694915254,2.095238095,Public,State_City,1000
226,490.4895833,1.354166667,3.404761905,3.533333333,2.720930233,2.1,Public,State_City,1317
227,517.3468469,2.042792793,3.836734694,4.285714286,2.755555556,2.479591837,Public,State_City,876
228,495.9467213,1.524590164,4.160714286,4.103448276,2.734693878,2.517857143,Public,State_City,352
229,539.6023936,2.674202128,4.381088825,4.744565217,3.073964497,2.877906977,Public,State_City,1584
230,515.2440476,2.095238095,4.039473684,4.192771084,3.02739726,2.513157895,Public,State_City,905
231,493.1097561,1.713414634,3.631578947,4.037974684,2.68,2.44,Public,State_City,1102
232,473.1525974,1.737012987,3.396825397,3.479452055,2.75,2.138461538,Public,State_City,494
233,491.3785714,1.628571429,3.413793103,3.580645161,2.290322581,2.15625,Public,State_City,1067
234,496.6129032,2.016129032,3.862068966,3.852459016,2.724137931,2.259259259,Public,State_City,957
235,506.5174419,1.313953488,3.388888889,3.534883721,2.5,2.243243243,Public,State_City,304
236,490.7419355,1.233870968,3.285714286,3.75862069,2.44,2.25,Public,State_City,558
237,488.1375,1.3875,3.055555556,3.388888889,2.333333333,2.210526316,Public,State_City,480
238,473.0476191,1.726190476,3.25,3.789473684,2.5,2.157894737,Public,State_City,576
239,520.8162752,2.674496644,4.346570397,4.588235294,3.056603774,2.78313253,Public,State_City,1295
240,494.4506579,1.315789474,3.542857143,3.76,2.852941176,2.285714286,Public,State_City,1817
241,521.4772728,2.198863636,4.210526316,4.530120482,2.835616438,2.633802817,Public,State_City,950
242,531.38,2.068333333,4.120300752,4.542857143,2.875968992,2.607142857,Public,State_City,743
243,554.2113095,3.592261905,4.639751553,4.993975904,3.305194805,3.140127389,Public,State_City,1323
244,511.875,2.363207547,4.032608696,4.427184466,3.107142857,2.637362637,Public,State_City,1531
245,427.25,0.5,1,1,1,1,Public,State_City,891
246,490.8983051,1.720338983,3.666666667,3.896551724,2.574468085,2.196428571,Public,State_City,1017
247,504.025,1.7875,3.735294118,3.971428571,2.722222222,2.315789474,Public,State_City,1093
248,492.6807229,1.909638554,3.581081081,3.825,2.657534247,2.478873239,Public,State_City,622
249,517.0070423,2.626760563,4.261538462,4.651851852,3.093023256,2.782945736,Public,State_City,1280
250,496.9107143,1.866071429,3.647887324,3.974025974,2.8,2.414285714,Public,State_City,765
251,504.0800781,1.7890625,3.85840708,4.090163934,2.768518519,2.51754386,Public,State_City,2145
252,503.1394231,1.846153846,3.777777778,4,2.511627907,2.204081633,Public,State_City,763
253,499.4333333,1.45,3.8,4.066666667,2.75,2.692307692,Public,State_City,491
254,569.0234375,3.236979167,4.808988764,5.168421053,3.06097561,2.988372093,Public,State_City,696
255,499.3125,1.333333333,3.090909091,3.666666667,2.80952381,2.363636364,Public,State_City,420
256,520.4072086,2.425613497,4.221088435,4.504761905,3.035587189,2.663333333,Public,State_City,1661
257,494.9697987,1.815436242,3.73015873,4.094890511,2.674796748,2.369230769,Public,State_City,1457
258,504.2253086,1.555555556,3.434210526,4.289473684,2.614285714,2.402777778,Public,State_City,1480
259,489.6517857,1.642857143,3.291666667,3.230769231,2.541666667,2.375,Public,State_City,565
260,505.046875,1.3125,3.333333333,3.466666667,2.928571429,2.5,Public,State_City,322
261,506.1801075,1.841397849,3.590361446,3.876404494,2.87804878,2.470588235,Public,State_City,1003
262,515.9822835,2.114173228,4.184210526,4.211382114,2.845454545,2.449541284,Public,State_City,927
263,501.4071429,2.271428571,3.878787879,4,2.935483871,2.483870968,Public,State_City,1110
264,543.9152174,3.036956522,4.695238095,4.792792793,3.121212121,2.851851852,Public,State_City,1126
265,484.9653846,1.719230769,3.901639344,4.125,2.754098361,2.419354839,Public,State_City,1035
266,515.7523885,2.133757962,3.845323741,4.016722408,2.774074074,2.367041199,Public,State_City,1484
267,489.7083333,1.430555556,3.625,4,2.5625,2.294117647,Public,State_City,627
268,528.9753086,2.080246914,4.013888889,4.289473684,2.901408451,2.581081081,Public,State_City,587
269,507.5775194,1.666666667,3.726415094,3.902439024,2.831578947,2.396396396,Public,State_City,961
270,491.5931818,1.440909091,3.684782609,3.971428571,2.724137931,2.267326733,Public,State_City,716
271,490.4946809,1.526595745,3.371428571,3.487804878,2.388888889,1.975,Public,State_City,1176
272,475.68,1.63,3.772727273,4.04,2.571428571,2.434782609,Public,State_City,1517
273,532.9473684,3.035714286,4.49137931,4.72519084,3.160377358,2.966101695,Public,State_City,674
274,533.7034413,2.42611336,4.209090909,4.684647303,2.995192308,2.832599119,Public,State_City,1196
275,491.7602041,1.142857143,3.081081081,3.409090909,2.571428571,2.0625,Public,State_City,525
276,518.7103175,1.984126984,3.75,4.180327869,2.907407407,2.433333333,Public,State_City,483
277,501.7702703,1.685810811,3.327868852,3.5,2.5,2.194029851,Public,State_City,931
278,488.1413044,1.391304348,3.526315789,3.523809524,2.333333333,2.095238095,Public,State_City,360
279,482.7334906,1.554245283,3.362637363,3.424242424,2.581395349,2.305263158,Public,State_City,980
280,510.4433962,1.613207547,3.804347826,4.18,2.744680851,2.612244898,Public,State_City,365
281,493.5458334,1.345833333,3.019607843,3.456140351,2.565217391,2.22,Public,State_City,945
282,463.8306452,1.35483871,3.32,3.5,2.347826087,2.192307692,Public,State_City,722
283,482.140625,1.421875,3.482142857,3.711864407,2.705882353,2.327586207,Public,State_City,643
284,496.4393939,1.446969697,3.107142857,3.612903226,2.642857143,2.25,Public,State_City,1167
285,480.6052632,1.473684211,3.742857143,4.216216216,2.617647059,2.25,Public,State_City,945
286,476.4242424,1.113636364,3.071428571,3.233333333,2.259259259,2.0625,Public,State_City,1005
